"id", "Product Name", "Quantity", "Price", "Date Purchased"
"0", "Cappuccino", "8", "5", "Wed Feb 26 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"1", "Caffe Espresso", "3", "3", "Tue Nov 24 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"2", "Cappuccino", "10", "5", "Sun Jul 05 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"3", "Caffe Espresso", "5", "3", "Tue Jun 02 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"4", "Espresso Truffle", "6", "1.75", "Sat Aug 22 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"5", "Peppermint Mocha Twist", "1", "4", "Fri May 01 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"6", "White Chocolate Mocha", "11", "3.6", "Sat Feb 15 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"7", "Caffe Espresso", "2", "3", "Mon Oct 26 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"8", "Peppermint Mocha Twist", "3", "4", "Sat Aug 22 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"9", "Caffe Espresso", "10", "3", "Fri Oct 16 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"10", "Black Tea", "5", "2.25", "Mon Feb 03 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"11", "Espresso Truffle", "8", "1.75", "Mon Feb 10 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"12", "Peppermint Mocha Twist", "10", "4", "Fri Feb 07 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"13", "Caffe Latte", "6", "4.5", "Tue Jun 16 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"14", "Caffe Latte", "5", "4.5", "Wed Sep 30 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"15", "Peppermint Mocha Twist", "9", "4", "Tue Mar 03 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"16", "Doubleshot Espresso", "5", "3.3", "Thu Aug 06 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"17", "Caffe Latte", "11", "4.5", "Tue May 19 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"18", "Peppermint Mocha Twist", "1", "4", "Fri Jan 10 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"19", "Espresso Truffle", "10", "1.75", "Sun Feb 16 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"20", "Black Tea", "8", "2.25", "Thu Apr 23 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"21", "White Chocolate Mocha", "7", "3.6", "Tue Jan 21 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"22", "Caramel Latte", "5", "3.8", "Tue Nov 03 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"23", "Caffe Latte", "11", "4.5", "Sat Feb 01 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"24", "White Chocolate Mocha", "2", "3.6", "Wed Jan 08 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"25", "Green Tea", "3", "1.5", "Fri Mar 20 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"26", "Espresso Truffle", "6", "1.75", "Thu Oct 22 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"27", "Peppermint Mocha Twist", "8", "4", "Thu Apr 23 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"28", "Espresso con Panna", "1", "3.25", "Mon Jan 20 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"29", "Green Tea", "11", "1.5", "Sat Apr 04 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"30", "Caffe Latte", "6", "4.5", "Sun May 31 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"31", "Black Tea", "7", "2.25", "Sat Nov 14 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"32", "Caffe Americano", "7", "2.5", "Sat Sep 19 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"33", "Peppermint Mocha Twist", "5", "4", "Sun May 10 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
